label,category,utterance1,utterance2
1,bedroom_cabinet_0,"{'user': 'Alien', 'text': 'Alright!', 'intent': 'Inform_understanding'}","{'user': 'Alien', 'text': ""What's this here?"", 'intent': 'Ask_about_object'}"
1,using_microwave_3,"{'user': 'Alien', 'text': 'Alright!', 'intent': 'Inform_understanding'}","{'user': 'Alien', 'text': 'What do I do now?', 'intent': 'Ask_next_step'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'What should I do now?', 'intent': 'Ask_next_step'}","{'user': 'Human', 'text': 'sit and watch the tv', 'intent': 'Inform_action'}"
0,watch_tv_2,"{'user': 'Alien', 'text': 'That sounds interesting. Can you tell me where can I watch it and how?', 'intent': 'Ask_about_location'}","{'user': 'Human', 'text': 'There is a tv in the living room, we can watch the soccer match on it', 'intent': 'Inform_next_step'}"
0,watch_tv_2,"{'user': 'Human', 'text': ""It doesn't matter. You are in the kitchen, just finish the task"", 'intent': 'Inform_other'}","{'user': 'Human', 'text': 'Do you know the task?', 'intent': 'Ask_know_action'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'Turning on the TV', 'intent': 'Inform_observation'}","{'user': 'Alien', 'text': 'What should I watch?', 'intent': 'Casual_question'}"
1,watch_tv_1,"{'user': 'Alien', 'text': ""Ok, I'm going to the receiver to turn it off."", 'intent': 'Inform_condition'}","{'user': 'Alien', 'text': 'Alright, I turned it off.', 'intent': 'Inform_condition'}"
1,wash_glass_0,"{'user': 'Alien', 'text': 'Okay!', 'intent': 'Inform_understanding'}","{'user': 'Alien', 'text': 'Is this a good place to put it?', 'intent': 'Ask_about_location'}"
1,using_microwave_3,"{'user': 'Human', 'text': ""Yup, that's it."", 'intent': 'Yes-no_positive'}","{'user': 'Alien', 'text': ""Okay, I'll set down the salmon here."", 'intent': 'Inform_get_started'}"
0,watch_tv_3,"{'user': 'Human', 'text': 'Do you need any more info?', 'intent': 'Ask_need_info'}","{'user': 'Alien', 'text': 'No I am good', 'intent': 'Inform_understanding'}"
0,watch_tv_2,"{'user': 'Human', 'text': ""Let's make some food together?"", 'intent': 'Casual_question'}","{'user': 'Alien', 'text': ""Ok, let's!"", 'intent': 'Casual_response'}"
0,watch_tv_1,"{'user': 'Alien', 'text': ""I don't know"", 'intent': 'Inform_confused'}","{'user': 'Human', 'text': 'The TV is in the living room', 'intent': 'iInform_object'}"
1,watch_tv_1,"{'user': 'Alien', 'text': 'I see', 'intent': 'Inform_understanding'}","{'user': 'Alien', 'text': 'I opened the TV', 'intent': 'Inform_condition'}"
0,watch_tv_2,"{'user': 'Human', 'text': 'Hello!', 'intent': 'Extend_greetings'}","{'user': 'Alien', 'text': 'Hello!', 'intent': 'Extend_greetings'}"
1,watch_tv_0,"{'user': 'Human', 'text': 'You can take a seat, make yourself comfortable while watching', 'intent': 'Inform_next_step'}","{'user': 'Alien', 'text': 'You are right, the couch is so comfortable', 'intent': 'Casual_observation'}"
1,wash_glass_0,"{'user': 'Human', 'text': 'Oh, okay. Well just bring the glass back here so we can wash it.', 'intent': 'Inform_next_step'}","{'user': 'Alien', 'text': 'Alright, what next?', 'intent': 'Ask_next_step'}"
1,watch_tv_2,"{'user': 'Human', 'text': 'Sure!', 'intent': 'Casual_response'}","{'user': 'Alien', 'text': 'This show is very interesting', 'intent': 'Casual_observation'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'are you ready to start?', 'intent': 'Ask_get_started'}","{'user': 'Human', 'text': 'yes', 'intent': 'Inform_action'}"
1,wash_glass_0,"{'user': 'Human', 'text': 'Sounds good. Then just bring it back here and you can rinse it at the sink.', 'intent': 'Inform_next_step'}","{'user': 'Human', 'text': 'Jeez, are you alright? Try not to jerk your back so violently like that.', 'intent': 'Ask_okay'}"
1,bedroom_cabinet_0,"{'user': 'Human', 'text': ""It's over here, I'll show you."", 'intent': 'Inform_location'}","{'user': 'Human', 'text': 'Go ahead and open it up.', 'intent': 'Inform_next_step'}"
0,watch_tv_2,"{'user': 'Alien', 'text': ""That's a good idea, thank you for the advise"", 'intent': 'Inform_understanding'}","{'user': 'Human', 'text': 'Sure!', 'intent': 'Casual_response'}"
1,watch_tv_3,"{'user': 'Human', 'text': 'Great!', 'intent': 'Casual_response'}","{'user': 'Alien', 'text': 'Turning on the TV', 'intent': 'Inform_observation'}"
0,watch_tv_3,"{'user': 'Human', 'text': 'hi', 'intent': 'Inform_get_started'}","{'user': 'Alien', 'text': 'Hello', 'intent': 'Extend_greetings'}"
1,watch_tv_0,"{'user': 'Alien', 'text': 'Pretty comfy!', 'intent': 'Casual_response'}","{'user': 'Alien', 'text': 'What should I do now?', 'intent': 'Ask_next_step'}"
1,watch_tv_0,"{'user': 'Human', 'text': 'Yep!', 'intent': 'Inform_other'}","{'user': 'Alien', 'text': 'What should we do now that we are finish with waching tv?', 'intent': 'Ask_next_step'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'Got it, I am doing it now', 'intent': 'Inform_understanding'}","{'user': 'Human', 'text': 'Do you need any more info?', 'intent': 'Ask_need_info'}"
0,watch_tv_2,"{'user': 'Human', 'text': ""Let's make some food together?"", 'intent': 'Casual_question'}","{'user': 'Alien', 'text': ""Ok, let's!"", 'intent': 'Casual_response'}"
0,watch_tv_2,"{'user': 'Alien', 'text': 'Oh hi! ', 'intent': 'Extend_greetings'}","{'user': 'Alien', 'text': 'Oh is it evening? I did not notice.', 'intent': 'Inform_confused'}"
1,watch_tv_1,"{'user': 'Human', 'text': ""Yeah, I'm very hungry!"", 'intent': 'Casual_response'}","{'user': 'Human', 'text': ""Let's make dinner!"", 'intent': 'Casual_observation'}"
0,watch_tv_1,"{'user': 'Alien', 'text': 'I opened the TV', 'intent': 'Inform_condition'}","{'user': 'Alien', 'text': 'Is this correct?', 'intent': 'Inform_confused'}"
1,wash_glass_0,"{'user': 'Human', 'text': 'Sure, go ahead.', 'intent': 'Yes-no_positive'}","{'user': 'Human', 'text': 'Great! Now just put it back on the dining table like the plate.', 'intent': 'Inform_next_step'}"
1,bedroom_cabinet_0,"{'user': 'Alien', 'text': 'Alright!', 'intent': 'Inform_understanding'}","{'user': 'Alien', 'text': ""I'm putting the toy away."", 'intent': 'Inform_get_started'}"
1,watch_tv_2,"{'user': 'Human', 'text': 'Yes, its my favorite show.', 'intent': 'Casual_observation'}","{'user': 'Alien', 'text': 'I am hungry', 'intent': 'Inform_condition'}"
1,watch_tv_2,"{'user': 'Alien', 'text': 'Yes please', 'intent': 'Inform_understanding'}","{'user': 'Human', 'text': 'Can you please turn the TV off?', 'intent': 'Ask_take_next_step'}"
0,watch_tv_2,"{'user': 'Alien', 'text': ""Great! I'll turn on the TV then"", 'intent': 'Inform_understanding'}","{'user': 'Human', 'text': 'Thanks!', 'intent': 'Casual_response'}"
1,using_computer_2,"{'user': 'Human', 'text': 'Go ahead and grab the mouse, then you can interact with the stuff onscreen by clicking them.', 'intent': 'Inform_next_step'}","{'user': 'Human', 'text': 'Wait, what? What are you grabbing that cupcake for?', 'intent': 'Ask_know_next_step'}"
1,watch_tv_3,"{'user': 'Alien', 'text': 'okay I got it', 'intent': 'Inform_understanding'}","{'user': 'Alien', 'text': 'I am confused, where is the living room?', 'intent': 'Inform_confused'}"
1,watch_tv_0,"{'user': 'Human', 'text': 'Yes, but you are not sitting', 'intent': 'Inform_incorrect_action'}","{'user': 'Alien', 'text': 'What do you mean by sitting?', 'intent': 'Inform_confused'}"
0,watch_tv_1,"{'user': 'Human', 'text': 'The TV is in the living room', 'intent': 'iInform_object'}","{'user': 'Alien', 'text': ""Got it. Let's go"", 'intent': 'Ask_get_started'}"
0,watch_tv_3,"{'user': 'Alien', 'text': ""I'm going to take a seat on the couch."", 'intent': 'Inform_condition'}","{'user': 'Human', 'text': ""Excellent, that's the best place to watch TV"", 'intent': 'Casual_response'}"
0,watch_tv_2,"{'user': 'Alien', 'text': 'This show is very interesting', 'intent': 'Casual_observation'}","{'user': 'Human', 'text': 'Yes, its my favorite show.', 'intent': 'Casual_observation'}"
0,watch_tv_1,"{'user': 'Human', 'text': 'No worries, you are opening the TV, and your next step is to hit the open button', 'intent': 'Inform_next_step'}","{'user': 'Alien', 'text': 'I see', 'intent': 'Inform_understanding'}"
1,watch_tv_2,"{'user': 'Human', 'text': 'Thanks!', 'intent': 'Casual_response'}","{'user': 'Alien', 'text': 'The TV is now off', 'intent': 'Inform_observation'}"
1,watch_tv_1,"{'user': 'Human', 'text': ""Yeah, I'm very hungry!"", 'intent': 'Casual_response'}","{'user': 'Human', 'text': ""Let's make dinner!"", 'intent': 'Casual_observation'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'That sounds interesting!', 'intent': 'Casual_response'}","{'user': 'Human', 'text': ""Let's watch it then!"", 'intent': 'Casual_response'}"
1,using_microwave_3,"{'user': 'Alien', 'text': 'Oh, sorry!', 'intent': 'Inform_understanding'}","{'user': 'Human', 'text': ""Where are you going? That's the kitchen counter."", 'intent': 'Ask_sure_about_location'}"
0,watch_tv_3,"{'user': 'Human', 'text': 'The TV is in the living room', 'intent': 'Inform_location'}","{'user': 'Human', 'text': 'Got it thanks!', 'intent': 'Casual_response'}"
1,using_microwave_3,"{'user': 'Human', 'text': 'Open up the microwave and place the salmon inside.', 'intent': 'Inform_next_step'}","{'user': 'Alien', 'text': 'And in you go!', 'intent': 'Inform_get_started'}"
0,watch_tv_2,"{'user': 'Alien', 'text': 'Yes, I can', 'intent': 'Inform_understanding'}","{'user': 'Human', 'text': 'Thanks!', 'intent': 'Casual_response'}"
1,watch_tv_2,"{'user': 'Alien', 'text': ""Let's go! I am excited!"", 'intent': 'Other'}","{'user': 'Alien', 'text': 'I have reached living room', 'intent': 'Inform_understanding'}"
0,watch_tv_1,"{'user': 'Alien', 'text': 'Alright, I turned it off.', 'intent': 'Inform_condition'}","{'user': 'Human', 'text': ""Cool, let's go back to the kitchen."", 'intent': 'Inform_next_step'}"
0,watch_tv_2,"{'user': 'Alien', 'text': 'Hello!', 'intent': 'Extend_greetings'}","{'user': 'Human', 'text': 'Should we watch some tv?', 'intent': 'Casual_question'}"
1,watch_tv_0,"{'user': 'Human', 'text': 'We can go eat something in the kitchen', 'intent': 'Inform_next_step'}","{'user': 'Alien', 'text': 'Watching tv was so fun!', 'intent': 'Casual_observation'}"
1,watch_tv_1,"{'user': 'Human', 'text': 'Great!', 'intent': 'Casual_response'}","{'user': 'Alien', 'text': 'The couch is comfortable.', 'intent': 'Casual_observation'}"
0,watch_tv_1,"{'user': 'Alien', 'text': 'Do you know TV? What is this?', 'intent': 'Ask_about_object'}","{'user': 'Human', 'text': 'The TV is a big screen that can play videos. ', 'intent': 'Inform_get_started'}"
1,watch_tv_3,"{'user': 'Human', 'text': 'we are going to the living room now', 'intent': 'Inform_action'}","{'user': 'Human', 'text': 'Do you know the next step?', 'intent': 'Ask_know_next_step'}"
1,watch_tv_0,"{'user': 'Alien', 'text': 'Okay!', 'intent': 'Inform_understanding'}","{'user': 'Human', 'text': 'Do you know how to turn the T.V. off?', 'intent': 'Ask_know_action'}"
1,watch_tv_3,"{'user': 'Alien', 'text': 'This couch is very comfortable!', 'intent': 'Casual_observation'}","{'user': 'Human', 'text': 'How is the game?', 'intent': 'Casual_question'}"
1,watch_tv_3,"{'user': 'Alien', 'text': 'No I am good', 'intent': 'Inform_understanding'}","{'user': 'Alien', 'text': 'What should I do now?', 'intent': 'Ask_next_step'}"
1,bedroom_cabinet_0,"{'user': 'Alien', 'text': 'Sounds good!', 'intent': 'Inform_understanding'}","{'user': 'Human', 'text': ""Alright nice! Let me see if there's anywhere else around here I could show you..."", 'intent': 'Inform_next_step'}"
1,watch_tv_3,"{'user': 'Human', 'text': ""Excellent, that's the best place to watch TV"", 'intent': 'Casual_response'}","{'user': 'Alien', 'text': 'This couch is very comfortable!', 'intent': 'Casual_observation'}"
0,watch_tv_2,"{'user': 'Human', 'text': 'Should we watch some tv?', 'intent': 'Casual_question'}","{'user': 'Alien', 'text': 'Sure!', 'intent': 'Casual_response'}"
0,watch_tv_1,"{'user': 'Human', 'text': 'Hey, turn the channel on to soccer please', 'intent': 'Inform_action'}","{'user': 'Alien', 'text': 'Sure, I turned the channel on to the sports channel', 'intent': 'Inform_condition'}"
0,watch_tv_1,"{'user': 'Alien', 'text': ""I'm going to the couch"", 'intent': 'Inform_condition'}","{'user': 'Human', 'text': 'Great!', 'intent': 'Casual_response'}"
1,watch_tv_0,"{'user': 'Human', 'text': 'Just push the power button again.', 'intent': 'Inform_action'}","{'user': 'Human', 'text': 'Go ahead and press the button!', 'intent': 'Inform_next_step'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'No', 'intent': 'Inform_condition'}","{'user': 'Human', 'text': ""let's watch the TV"", 'intent': 'Inform_next_step'}"
1,watch_tv_2,"{'user': 'Human', 'text': 'Sounds good!', 'intent': 'Casual_response'}","{'user': 'Human', 'text': ""There's a nice show on now, if you turn it to channel 2."", 'intent': 'Casual_observation'}"
0,watch_tv_2,"{'user': 'Alien', 'text': ""That sounds very interesting. Let's go the living room then! You can show me how to use the TV."", 'intent': 'Inform_get_started'}","{'user': 'Human', 'text': ""Let's go! Using the TV is easy. I will show you how to use it"", 'intent': 'Casual_response'}"
0,watch_tv_2,"{'user': 'Human', 'text': 'Ok, would you like to get something from the kitchen?', 'intent': 'Casual_question'}","{'user': 'Alien', 'text': 'Yes please', 'intent': 'Inform_understanding'}"
0,watch_tv_1,"{'user': 'Human', 'text': 'The TV is a big screen that can play videos. ', 'intent': 'Inform_get_started'}","{'user': 'Alien', 'text': 'May I watch the TV?', 'intent': 'Ask_guidence'}"
0,watch_tv_1,"{'user': 'Alien', 'text': 'Alright, im coming. Should we make some dinner?', 'intent': 'Inform_condition'}","{'user': 'Human', 'text': ""Yeah, I'm very hungry!"", 'intent': 'Casual_response'}"
0,watch_tv_2,"{'user': 'Human', 'text': 'hi, good evening', 'intent': 'Extend_greetings'}","{'user': 'Alien', 'text': 'Oh hi! ', 'intent': 'Extend_greetings'}"
0,watch_tv_2,"{'user': 'Human', 'text': 'Do you know the task?', 'intent': 'Ask_know_action'}","{'user': 'Alien', 'text': ""Ummm I actually don't remember what I want to do. What can I do here?"", 'intent': 'Ask_about_action'}"
0,watch_tv_2,"{'user': 'Human', 'text': 'Hey, I think you should go to the couch to watch.', 'intent': 'Inform_location'}","{'user': 'Alien', 'text': 'Is this not the TV?', 'intent': 'Inform_confused'}"
1,watch_tv_3,"{'user': 'Human', 'text': ""Ok let's go then"", 'intent': 'Casual_response'}","{'user': 'Human', 'text': 'Make sure to turn of the TV before we go', 'intent': 'Inform_next_step'}"
1,using_computer_2,"{'user': 'Alien', 'text': 'Oh, I see! Thanks.', 'intent': 'Inform_understanding'}","{'user': 'Alien', 'text': 'Now what do I do?', 'intent': 'Ask_next_step'}"
0,watch_tv_3,"{'user': 'Human', 'text': 'I hear that there is an exciting soccer match going on right now', 'intent': 'Casual_response'}","{'user': 'Alien', 'text': 'That sounds interesting!', 'intent': 'Casual_response'}"
0,watch_tv_2,"{'user': 'Alien', 'text': 'The TV is now off', 'intent': 'Inform_observation'}","{'user': 'Human', 'text': 'Thanks!', 'intent': 'Casual_response'}"
1,using_computer_2,"{'user': 'Human', 'text': 'Yup, good job.', 'intent': 'Yes-no_positive'}","{'user': 'Human', 'text': 'Next, you can take a seat in my desk chair.', 'intent': 'Inform_next_step'}"
1,wash_glass_0,"{'user': 'Human', 'text': 'Sure, that works.', 'intent': 'Yes-no_positive'}","{'user': 'Human', 'text': ""Try and put it down a little gently. It's glass after all."", 'intent': 'Inform_action'}"
0,watch_tv_3,"{'user': 'Human', 'text': 'fine thank you', 'intent': 'Casual_response'}","{'user': 'Alien', 'text': 'are you ready to start?', 'intent': 'Ask_get_started'}"
0,watch_tv_3,"{'user': 'Human', 'text': 'you should walk towards it and click on its power button\\', 'intent': 'Inform_action'}","{'user': 'Alien', 'text': 'Got it, I am doing it now', 'intent': 'Inform_understanding'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'Absolutely!', 'intent': 'Casual_response'}","{'user': 'Human', 'text': ""Great, let's go to it then"", 'intent': 'Casual_response'}"
0,watch_tv_1,"{'user': 'Human', 'text': 'Sure, and can you help me to watch TV? ', 'intent': 'Ask_want_help'}","{'user': 'Alien', 'text': 'Hot to get start?', 'intent': 'Ask_next_step'}"
0,watch_tv_1,"{'user': 'Human', 'text': 'Hit the open button on the corner of the screen', 'intent': 'Inform_action'}","{'user': 'Alien', 'text': 'Got it.', 'intent': 'Inform_understanding'}"
1,watch_tv_1,"{'user': 'Alien', 'text': 'Hello!', 'intent': 'Extend_greetings'}","{'user': 'Human', 'text': ""Let's go to the TV"", 'intent': 'Inform_location'}"
1,watch_tv_1,"{'user': 'Alien', 'text': 'Sure, I turned the channel on to the sports channel', 'intent': 'Inform_condition'}","{'user': 'Alien', 'text': ""I'm going to the couch"", 'intent': 'Inform_condition'}"
1,watch_tv_1,"{'user': 'Human', 'text': ""Cool, let's go back to the kitchen."", 'intent': 'Inform_next_step'}","{'user': 'Alien', 'text': 'Alright, im coming. Should we make some dinner?', 'intent': 'Inform_condition'}"
0,watch_tv_2,"{'user': 'Human', 'text': ""Let's go! Using the TV is easy. I will show you how to use it"", 'intent': 'Casual_response'}","{'user': 'Alien', 'text': ""Let's go! I am excited!"", 'intent': 'Other'}"
1,bedroom_cabinet_0,"{'user': 'Human', 'text': ""It's a toy we're going to move from the bookshelf to the cupboard."", 'intent': 'Inform_action'}","{'user': 'Alien', 'text': ""Where's the cupboard?"", 'intent': 'Ask_about_location'}"
1,watch_tv_0,"{'user': 'Human', 'text': ""I'm glad you like it"", 'intent': 'Casual_response'}","{'user': 'Alien', 'text': 'How many inches is your tv?', 'intent': 'Casual_question'}"
1,bedroom_cabinet_0,"{'user': 'Human', 'text': ""Nice, there's still one more. Let's go get it."", 'intent': 'Inform_next_step'}","{'user': 'Alien', 'text': 'You mean this one over here?', 'intent': 'Ask_about_object'}"
0,watch_tv_2,"{'user': 'Human', 'text': 'Lets go to the kitchen now?', 'intent': 'Casual_question'}","{'user': 'Alien', 'text': 'Sure, that sounds like a great idea', 'intent': 'Inform_understanding'}"
0,watch_tv_2,"{'user': 'Human', 'text': 'There is a tv in the living room, we can watch the soccer match on it', 'intent': 'Inform_next_step'}","{'user': 'Alien', 'text': ""That sounds very interesting. Let's go the living room then! You can show me how to use the TV."", 'intent': 'Inform_get_started'}"
1,using_computer_2,"{'user': 'Alien', 'text': 'Oh, okay. So next I need to turn it back off?', 'intent': 'Ask_next_step'}","{'user': 'Human', 'text': 'Correct. Make sure to put the mouse back first.', 'intent': 'Inform_next_step'}"
1,watch_tv_0,"{'user': 'Human', 'text': ""Yep, that's the one"", 'intent': 'Inform_other'}","{'user': 'Human', 'text': 'If you want to watch T.V., you should try watching it from back there on my couch', 'intent': 'Inform_next_step'}"
1,watch_tv_2,"{'user': 'Human', 'text': 'I was thinking of putting together whatever we had in the kitchen.', 'intent': 'Casual_response'}","{'user': 'Human', 'text': ""Let's make some food together?"", 'intent': 'Casual_question'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'what should I do?', 'intent': 'Ask_next_step'}","{'user': 'Human', 'text': 'You should watch tv', 'intent': 'Inform_action'}"
0,watch_tv_3,"{'user': 'Human', 'text': 'in the living room', 'intent': 'Inform_location'}","{'user': 'Alien', 'text': 'okay I got it', 'intent': 'Inform_understanding'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'I am confused, where is the living room?', 'intent': 'Inform_confused'}","{'user': 'Human', 'text': 'You should get out of the kitchen and go to the next room which is the living room', 'intent': 'Inform_location'}"
1,using_computer_2,"{'user': 'Human', 'text': ""That's not exactly the spot I had in mind, but it works I guess."", 'intent': 'Inform_location'}","{'user': 'Alien', 'text': 'Alright. So this is the power button, right?', 'intent': 'Ask_about_action'}"
